index,headline_text,Topic,URL
0,"Children 'failed in first 1,000 days', says MPs",Health,
1,Child supplements 'mislead parents' over vitamin D,Health,
2,Hedgehogs to swimsuits: How a warm winter affects us all,Climate Change,
3,Sex education: Menstrual health to be taught in school by 2020,Health,
4,"What it's like if you can't eat any raw fruit and vegetables? It sounds inconvenient, limiting and potentially unhealthy.",Health,
5,"One in 13 young people in England and Wales experiences post-traumatic stress disorder by the age of 18, the first research of its kind suggests.",Health,
6,"Social care workers in Scotland often face ""excessive"" shifts and unfair conditions, an inquiry has found.",Health,
7,"The flu vaccine is so far proving more effective in children than in adults in the UK, mid-season figures suggest.",Health,
8,"The NHS has been told to stop using pagers for communications by 2021, in order to save money.",Health,
11,"Products high in salt and saturated fats are being marketed as healthy by leading supermarkets, BBC Radio 5 Live Investigates has found.",Health,
12,"The Environmental Audit Committee's session on planetary health with evidence from academics from University College London, Exeter University and King's College London, from Tuesday 12 February.",Health,
13,Ministers insist there is strong support for their seven-day NHS plans as experts challenge the policy.,Health,
14,"The plants, animals, and micro-organisms that are the bedrock of food production are in decline, according to a UN study.",Climate Change,https://www.bbc.co.uk/news/science-environment-47308235?intlink_from_url=https://www.bbc.co.uk/news/topics/cmj34zmwm1zt/climate-change&link_location=live-reporting-story
15,It was described in 2016 as the first mammalian extinction caused by human-induced climate change.,Climate Change,https://www.bbc.co.uk/news/world-australia-47300992?intlink_from_url=https://www.bbc.co.uk/news/topics/cmj34zmwm1zt/climate-change&link_location=live-reporting-story
16,"Climate change: Which vegan milk is best? The popularity of vegan foods continues to grow, with January seen as a traditional time to consider giving them a try.",Climate Change,https://www.bbc.co.uk/news/science-environment-46654042?intlink_from_url=https://www.bbc.co.uk/news/topics/cmj34zmwm1zt/climate-change&link_location=live-reporting-story
17,"Growing meat in the laboratory may do more damage to the climate in the long run than meat from cattle, say scientists.",Climate Change,https://www.bbc.co.uk/news/science-environment-47283162?intlink_from_url=https://www.bbc.co.uk/news/topics/cmj34zmwm1zt/climate-change&link_location=live-reporting-story
18,"Geoengineering tends to get short shrift from environmentalists, seen as a distraction from the hard and necessary work of cutting emissions, at best.",Climate Change,https://www.climatechangenews.com/2019/03/01/climate-weekly-will-govern-geoengineering/
19,"Campaigners are seeking to stop the EU counting wood as a renewable energy source, in a lawsuit filed at the Court of Justice on Monday.",Climate Change,https://www.climatechangenews.com/2019/03/04/burning-wood-power-breaches-eu-treaty-new-lawsuit-claims/
20,"The oil sector faces a “crisis of perception”, Saudi Aramco’s chief warned an industry conference in London on Tuesday.",Climate Change,https://www.climatechangenews.com/2019/02/26/saudi-aramco-dismisses-peak-oil-demand-hype-touts-carbon-efficiency/
21,"The Green Climate Fund has appointed a French UN veteran as its next executive director, as it gears up for a new fundraising round.",Climate Change,https://www.climatechangenews.com/2019/02/25/french-un-official-named-next-chief-flagship-climate-fund/
22,"In recent weeks in France, there has been a profusion of articles about the “climate scientist blues”, which has apparently been affecting them “scientifically”. This follows a spate of similar articles in the US and Australian media. But what is the point of knowing the mood of scientists, or whether so-and-so is optimistic or pessimistic?",Climate Change,https://www.climatechangenews.com/2019/01/25/stop-asking-climate-scientists-feel/
23,"The 10 countries along the River Nile are set to bring in a shared water and weather monitoring system next year, to promote efficient water use and inform water-sharing negotiations.",Climate Change,https://www.climatechangenews.com/2018/11/29/nile-countries-prepare-water-monitoring-system-fill-data-gaps/
24,"Four big oil and gas producers blocked UN climate talks from welcoming the most influential climate science report in years, as a meeting in Poland descended into acrimony on Saturday.",Climate Change,https://www.climatechangenews.com/2018/12/08/climate-science-1-5c-erased-un-talks-us-saudis-step/
25,Coral reefs are set to be one of the first casualties of climate change. Even if global warming is held to 1.5C – the toughest goal in the Paris Agreement – an estimated 90% of the world’s coral reefs will be degraded by 2050.,Climate Change,https://www.climatechangenews.com/2018/03/06/worlds-climate-funds-ignoring-coral-reefs/
26,The Maldives government is endangering coral reefs in pursuit of urbanisation and opaque mega-deals with foreign investors.,Climate Change,https://www.climatechangenews.com/2017/03/20/maldives-regime-imperils-coral-reefs-dash-cash/
27,"The typhoons that have slammed into the coasts of east and southeast Asia have become more violent, increasing in intensity by between 12% and 15% over the last four decades, according to a new study.",Climate Change,https://www.climatechangenews.com/2016/09/13/asias-coastal-typhoons-are-gaining-power/
28,"Our research, recently published in Nature Climate Change, describes a series of sudden and catastrophic ecosystem shifts that have occurred recently across Australia.",Climate Change,https://www.climatechangenews.com/2018/07/23/ecosystems-across-australia-collapsing-climate-change/
29,"American smokers mistakenly think that using snus, a type of moist snuff smokeless tobacco product, is as dangerous as smoking tobacco, according to a Rutgers study.",Health,https://www.news-medical.net/news/20190304/Health-risks-of-smokeless-tobacco-product-often-misunderstood-by-American-smokers.aspx
30,"It's time to strengthen support for the 28% of people who provide care for an aging family member, friend or neighbor in Canada, argues an editorial in CMAJ (Canadian Medical Association Journal).",Health,https://www.news-medical.net/news/20190304/More-support-needed-for-caregivers-in-Canada.aspx
31,"New research suggests that toxicants of notable public health interest are substantially reduced in the aerosol from our heated tobacco product (HTP) prototype, compared to smoke from a standard reference cigarette.",Health,https://www.news-medical.net/news/20190304/Toxicant-levels-in-heated-tobacco-prototype-are-substantially-lower-than-cigarettes.aspx
32,"Chemotherapy drugs are lifesaving to cancer patients, but these toxic drugs are hazardous to the health care workers who come into contact with them. Despite the risks, many health care workers do not use recommended personal protective equipment such as gloves or gowns when handling chemotherapy.",Health,https://www.news-medical.net/news/20190302/Protecting-against-e28098invisible-threate28099-that-affects-cancer-care-workers.aspx
33,"There is a significant association between the rise of populism across Europe and the level of mistrust around vaccines, according to a study by Queen Mary University of London.",Health,https://www.news-medical.net/news/20190302/Association-found-between-rise-of-European-populism-and-vaccine-hesitancy.aspx
